Search Term,Date From,Date To,Center Lat,Center Lon,WHE 1,WHE 2,Wiki 1,Wiki 2
apollonia,-490,-283,42.5,21.0,https://www.worldhistory.org/Apollonia/,,https://en.wikipedia.org/wiki/Apollonia,
arabs,-1000,-1,25.5,45.4,,,https://en.wikipedia.org/wiki/Arabs,
aram damascus,-1146,-606,33.0,37.4,,,https://en.wikipedia.org/wiki/Aram_Damascus,
aram-naharim,-1146,-1106,37.5,37.5,,,https://en.wikipedia.org/wiki/Aram-Naharim,
aram-zobah,-1146,-750,32.5,37.5,,,https://en.wikipedia.org/wiki/Aram-Zobah,
aramaeans,-1280,-1,33.8,40.6,,,https://en.wikipedia.org/wiki/Aramaeans,
arcadia,-742,-446,37.5,22.5,https://www.worldhistory.org/Arcadia/,,https://en.wikipedia.org/wiki/Arcadia,
arcadian league,-363,-1,37.5,22.5,https://www.worldhistory.org/Arcadian_League/,,https://en.wikipedia.org/wiki/Arcadian_League,
arctic marine mammal hunters,-2400,-1,69.5,150.4,,,https://en.wikipedia.org/wiki/Arctic_Marine_Mammal_Hunters,
arctic peoples,-2400,-1,66.3,-100.8,,,https://en.wikipedia.org/wiki/Arctic_Peoples,
ardiaei,-346,-1,42.5,21.0,https://www.worldhistory.org/Ardiaei/,,https://en.wikipedia.org/wiki/Ardiaei,
argaric culture,-2200,-1500,37.5,-2.5,,,https://en.wikipedia.org/wiki/Argaric_Culture,
argos,-494,-272,37.5,22.5,https://www.worldhistory.org/argos/,,https://en.wikipedia.org/wiki/Argos,
aryan people,-2050,-532,31.8,70.3,,,https://en.wikipedia.org/wiki/Aryan_People,
arzawa,-1776,-1202,37.7,29.3,https://www.worldhistory.org/Arzawa/,,https://en.wikipedia.org/wiki/Arzawa,
asinia,-780,-758,37.5,22.5,,,https://en.wikipedia.org/wiki/Asinia,
assaka,-725,-300,17.5,80.0,,,https://en.wikipedia.org/wiki/Assaka,
assakenoi,-610,-516,34.9,72.5,,,https://en.wikipedia.org/wiki/Assakenoi,
assyrian kingdoms,-2218,-1920,35.6,43.1,,,https://en.wikipedia.org/wiki/Assyrian_Kingdoms,
assyrian revolt,,,35.0,42.5,,,https://en.wikipedia.org/wiki/Assyrian_Revolt,
asvaka,-610,-516,34.1,72.5,,,https://en.wikipedia.org/wiki/Asvaka,
athamania,-431,-1,37.5,22.5,,,https://en.wikipedia.org/wiki/Athamania,
athenian ally,-384,-379,37.5,27.5,,,https://en.wikipedia.org/wiki/Athenian_Ally,
athens,-900,268,38.6,24.4,https://www.worldhistory.org/Athens/,,https://en.wikipedia.org/wiki/Athens,
atropatene,-320,-1,39.3,47.1,,,https://en.wikipedia.org/wiki/Atropatene,
atuna,-827,-680,37.5,33.8,,,https://en.wikipedia.org/wiki/Atuna,
audumbaras,-600,-323,32.5,75.8,,,https://en.wikipedia.org/wiki/Audumbaras,
aurunci,-800,-334,42.5,15.0,,,https://en.wikipedia.org/wiki/Aurunci,
australia,1990,,-30.0,121.0,https://www.worldhistory.org/Australia/,,https://en.wikipedia.org/wiki/Australia_(continent),
austro-asiatic peoples,-2400,-1,18.6,102.6,,,https://en.wikipedia.org/wiki/Austro-Asiatic_Peoples,
austronesians,-2400,-1,4.1,117.9,,,https://en.wikipedia.org/wiki/Austronesians,
avanti,-850,-400,24.4,75.5,,,https://en.wikipedia.org/wiki/Avanti,
azzi-hayasa,-1506,-1200,38.9,39.1,,,https://en.wikipedia.org/wiki/Azzi-Hayasa,
ba,-1075,-316,30.8,108.4,https://www.worldhistory.org/Ba/,,https://en.wikipedia.org/wiki/Ba,
babylonia,-978,-732,32.4,45.3,https://www.worldhistory.org/Babylonia/,,https://en.wikipedia.org/wiki/Babylonia,
babylonia (chaldaeans),-780,-616,32.3,45.4,,,https://en.wikipedia.org/wiki/Babylonia_(chaldaeans),
babylonia (isin dynasty),-1158,-978,32.6,45.9,,,https://en.wikipedia.org/wiki/Babylonia_(isin_Dynasty),
babylonian revolt,-852,-648,32.2,44.9,,,https://en.wikipedia.org/wiki/Babylonian_Revolt,
